Band,Album,Date Published,Nerd Date
Sinister Realm,The Crystal Eye,2011-8-16,3522528000
Arch/Matheos,Sympathetic Resonance,2011-9-5,3524256000
Morbus Chron,Sleepers in the Rift,2011-9-11,3524774400
Pain of Salvation,Road Salt Two [Ebony],2011-9-18,3525379200
Textures,Dualism,2011-9-20,3525552000
Anubis Gate,Anubis Gate,2011-9-20,3525552000
Voyager,The Meaning of I,2011-9-26,3526070400
Insomnium,One for Sorrow,2011-10-17,3527884800
Absu,Abzu,2011-10-30,3529008000
Entrails,The Tomb Awaits,2011-10-31,3529094400
40 Watt Sun,The Inside Room,2011-11-1,3529180800
Hammers of Misfortune,17th Street,2011-11-2,3529267200
Orphaned Land,The Road to OR-Shalem,2011-11-10,3529958400
Riot,Immortal Soul,2011-11-13,3530217600
Stormzone,Zero to Rage,2011-11-15,3530390400
Iron Savior,The Landing,2011-11-20,3530822400
Exhumed,"All Guts, No Glory",2011-11-23,3531081600
Vallenfyre,A Fragile King,2011-12-5,3532118400
Cormorant,Dwellings,2011-12-6,3532204800
Theocracy,As The World Bleeds,2011-12-7,3532291200
Nightwish,Imaginaerum,2011-12-11,3532636800
The Man,Eating Tree – Harvest,2011-12-18,3533241600
Primal Fear,Unbreakable,2012-1-12,3535401600
The 11th Hour,Lacrima Mortis,2012-1-15,3535660800
Zebulon Pike,Space is the Corpse of Time,2012-1-16,3535747200
Dodecahedron,Dodecahedron,2012-2-3,3537302400
Woods of Ypres,Woods 5: Grey Skies & Electric Light,2012-2-9,3537820800
Pallbearer,Sorrow and Extinction,2012-2-14,3538252800
Pharaoh,Bury the Light,2012-2-16,3538425600
Lanfear,This Harmonic Consonance,2012-2-26,3539289600
Asphyx,Deathhammer,2012-2-28,3539462400
Desaster,The Arts of Destruction,2012-3-4,3539894400
Sigh,In Somniphobia,2012-3-5,3539980800
Gorod,A Perfect Absolution,2012-3-21,3541363200
Borknagar,Urd,2012-3-25,3541708800
Anathema,Weather Systems,2012-3-29,3542054400
Inverloch,Dusk | Subside,2012-4-4,3542572800
Black Breath,Sentenced to Life,2012-4-9,3543004800
Huntress,Spell Eater,2012-4-15,3543523200
Wodensthrone,Curse,2012-4-22,3544128000
Kontrust,Second Hand Wonderland,2012-4-30,3544819200
Master’s Hammer,Vracejte Konve Na Misto,2012-5-2,3544992000
Blood Mortized,The Key to a Black Heart,2012-5-6,3545337600
Steel Assassin,WWII: Metal of Honor,2012-5-13,3545942400
Ennead,Frozen Eyes,2012-5-15,3546115200
Grand Magus,The Hunt,2012-5-17,3546288000
Sabaton,Carolus Rex,2012-5-20,3546547200
Ne Obliviscaris,Portal Of I,2012-5-24,3546892800
Kreator,Phantom Antichrist,2012-5-30,3547411200
Dawnbringer,Into the Lair of the Sun God,2012-6-6,3548016000
Carach Angren,Where the Corpses Sink Forever,2012-6-15,3548793600
Be’lakor,Of Breath and Bone,2012-6-17,3548966400
Luca Turilli’s Rhapsody,Ascending to Infinity,2012-6-18,3549052800
Vintersorg,Orkan,2012-6-21,3549312000
Gojira,L’Enfant Sauvage,2012-6-28,3549916800
Vindicator,United We Fall,2012-7-8,3550780800
Zombiefication,Reaper’s Consecration,2012-7-9,3550867200
Father Befouled,Revulsion of Seraphic Grace,2012-7-20,3551817600
Castle,Blacklands,2012-7-21,3551904000
Zonaria,Arrival of the Red Sun,2012-7-24,3552163200
Dust Bolt,Violent Demolition,2012-7-27,3552422400
Korpiklaani,Manala,2012-7-29,3552595200
Testament,Dark Roots of Earth,2012-8-1,3552854400
Necrovation,Necrovation,2012-8-6,3553286400
Sophicide,Perdition of the Sublime,2012-8-7,3553372800
Bedemon,Symphony of Shadows,2012-8-15,3554064000
Krampus,Survival of the Fittest,2012-8-18,3554323200
Trollfest,Brumlebassen,2012-8-19,3554409600
An Autumn for Crippled Children,Only the Ocean Knows,2012-8-26,3555014400
Reverence,The Asthenic Ascension,2012-8-28,3555187200
Threshold,March of Progress,2012-8-29,3555273600
Lustre,They Awoke to the Scent of Spring,2012-8-30,3555360000
Vision of Disorder,The Cursed Remain Cursed,2012-9-17,3556915200
Revocation,Teratogenesis,2012-10-1,3558124800
Anaal Nathrakh,Vanitas,2012-10-15,3559334400
Weapon,Embers and Revelations,2012-10-16,3559420800
Beneath,Enslaved by Fear,2012-10-17,3559507200
Dethklok,Dethalbum III,2012-10-26,3560284800
Kamelot,Silverthorn,2012-10-27,3560371200
Ragnarok,Malediction,2012-10-30,3560630400
The Secret,Agnus Dei,2012-10-31,3560716800
Paragon,Force of Destruction,2012-11-3,3560976000
Neurosis,Honor Found In Decay,2012-11-7,3561321600
Seven Kingdoms,The Fire is Mine,2012-11-8,3561408000
Monolithe,Monolithe III,2012-11-10,3561580800
Aoria,The Constant,2012-11-20,3562444800
Ofermod,Thaumiel,2012-11-21,3562531200
Mors Principium Est,… And Death Said Live,2013-1-7,3566592000
Nightfall,Cassiopeia,2013-1-10,3566851200
Void of Sleep,Tales Between Reality and Madness,2013-1-13,3567110400
Audrey Horne,Youngblood,2013-1-14,3567196800
Voivod,Target Earth,2013-1-15,3567283200
Cult of Luna,Vertikal,2013-1-18,3567542400
Convulse,Inner Evil EP,2013-1-26,3568233600
Alpha Tiger,Beneath the Surface,2013-2-3,3568924800
Spektr,Cypher,2013-2-9,3569443200
Crest of Darkness,In the Presence of Death,2013-2-11,3569616000
Devourment,Conceived in Sewage,2013-2-13,3569788800
New Keepers of the Water Towers,Cosmic Child,2013-2-14,3569875200
Omnium Gatherum,Beyond,2013-2-15,3569961600
Steven Wilson,The Raven that Refused to Sing (and Other Stories),2013-2-17,3570134400
Cnoc An Tursa,The Giants of Auld,2013-2-19,3570307200
Hatriot,Heroes of Origin,2013-2-24,3570739200
The Fall of Every Season,Amends,2013-3-1,3571171200
October Falls,The Plague of a Coming Age,2013-3-12,3572121600
Nails,Abandon All Life,2013-3-16,3572467200
Serenity,War of Ages,2013-3-17,3572553600
Wormed,Exodromos,2013-3-20,3572812800
Victor Griffin’s In,Graved,2013-3-21,3572899200
